,utterance,utterance_de,utterance_de_deepl,speaker,emotion,sentiment,dialogue_id,utterance_id,season,episode,starttime,endtime
4917,Oh. Maybe they're- napping.,Oh. Vielleicht machen sie ein Nickerchen.,Oh... Vielleicht machen sie ein Nickerchen.,Monica,neutral,neutral,525,2,1,4,"00:16:44,086","00:16:46,004"
4918,"Oh please, they're having sex.","Oh bitte, sie haben Sex.","Oh bitte, sie haben Sex.",Rachel,sadness,negative,525,3,1,4,"00:16:46,171","00:16:48,965"
4919,Shut up!,"Halte den Mund, halt den Rand, Halt die Klappe!",Halt die Klappe!,Monica and Phoebe,anger,negative,525,4,1,4,"00:16:49,133","00:16:50,633"
4920,"So, whaddya think George is like?","Also, was denkst du, wie George ist?","Also, was denkst du, wie George ist?",Rachel,neutral,neutral,525,5,1,4,"00:16:55,931","00:16:59,267"
4921,I think he's shy.,"Ich glaube, er ist schüchtern.","Ich glaube, er ist schüchtern.",Monica,neutral,neutral,525,6,1,4,"0:16:59,435","0:17:00,478"
4922,Yeah?,Ja?,Schüchtern. - Ja?,Phoebe,surprise,positive,525,7,1,4,"0:17:00,478","0:17:01,869"
4923,Yeah. I think you have to draw him out. And then- when you do- he's a preppy animal.,"Ja. Ich glaube, du musst ihn herausziehen. Und dann – wenn du das tust – ist er ein adrettes Tier.","Ja. Ich glaube, man muss ihn herauslocken. Und dann, wenn man das getan hat, ist er ein putzmunteres Tier.",Monica,neutral,neutral,525,8,1,4,"00:17:01,979","00:17:08,735"
4924,"Hi! Hi, I’m Ross, you don’t know me, but I’m a big, big fan of yours. I mean,","Hallo! Hallo, ich bin Ross, du kennst mich nicht, aber ich bin ein großer Fan von dir. Ich meine,","Hi! Hi, ich bin Ross, du kennst mich nicht, aber ich bin ein großer, großer Fan von dir. Ich meine,",Ross,joy,positive,526,0,3,5,"00:19:49,396","00:19:56,944"
4925,Aren’t you with that girl over there?,Bist du nicht mit dem Mädchen da drüben?,bist du nicht mit dem Mädchen da drüben zusammen?,Isabella,neutral,neutral,526,1,3,5,"00:20:11,793","00:20:14,086"
4926,"Well, yeah, kinda.","Nun ja, irgendwie.","Nun, ja, irgendwie schon.",Ross,neutral,neutral,526,2,3,5,"00:20:18,759","00:20:20,259"
4927,"Um, but that’s okay, see we have an understanding, um, see we each have this list of five famous people,  so I’m allowed to sleep with you.","Ähm, aber das ist okay, wir haben uns verständigt, ähm, wir haben alle diese Liste von fünf berühmten Leuten, also darf ich mit dir schlafen.","Ähm, aber das ist ok, wir haben eine Abmachung, ähm, wir haben jeder diese Liste mit 5 berühmten Leuten, also darf ich mit dir schlafen.",Ross,neutral,neutral,526,3,3,5,"00:20:20,427","00:20:28,351"
4928,"No, no, no, it’s flattery.","Nein, nein, nein, es ist Schmeichelei.","Nein, nein, nein, das ist Schmeichelei.",Ross,joy,positive,526,4,3,5,"00:20:31,396","00:20:34,148"
4929,"Oh no, no, no, wait, wait, Isabella.","Oh nein, nein, nein, warte, warte, Isabella.","Oh nein, nein, nein, warte, warte, Isabella.",Ross,joy,positive,526,5,3,5,"00:20:36,652","00:20:40,821"
4930,"Don’t, don’t just dismiss this so fast.","Nicht, entlassen Sie das nicht einfach so schnell.","Tu das nicht, tu das nicht so schnell ab.",Ross,fear,negative,526,6,3,5,"00:20:40,989","00:20:42,865"
4931,I mean this is a once in a lifetime opportunity...,"Ich meine, das ist eine einmalige Gelegenheit...","Ich meine, das ist eine einmalige Gelegenheit...",Ross,neutral,neutral,526,7,3,5,"00:20:43,033","00:20:45,451"
4932,"Yeah, for you. Is that the list?","Ja, für dich. Ist das die Liste?","Ja, für dich. Ist das die Liste?",Isabella,neutral,neutral,526,8,3,5,"00:20:45,619","00:20:50,248"
4933,"Um, yeah.",Hm ja.,"Ähm, ja.",Ross,neutral,neutral,526,9,3,5,"0:20:50,415","0:20:50,797"
4934,May I see it?,Kann ich es sehen?,Darf ich sie sehen?,Isabella,neutral,neutral,526,10,3,5,"0:20:50,797","0:20:52,059"
4935,"Um, no.","Ähm, nein.","Ähm, nein.",Ross,fear,negative,526,11,3,5,"0:20:52,167","0:20:52,877"
4936,Come on!,Komm schon!,Komm schon!,Isabella,joy,positive,526,12,3,5,"0:20:52,877","0:20:53,349"
4937,"But, okay.",Aber okay.,"Aber, okay.",Ross,neutral,neutral,526,13,3,5,"00:20:53,460","00:20:55,086"
4938,I’m not on the list!,Ich stehe nicht auf der Liste!,Ich stehe nicht auf der Liste!,Isabella,surprise,negative,526,14,3,5,"00:20:55,837","00:20:57,171"
4939,"Um, see, but that’s not the final draft.","Ähm, sehen Sie, aber das ist nicht der endgültige Entwurf.","Ähm, sehen Sie, aber das ist nicht der endgültige Entwurf.",Ross,neutral,neutral,526,15,3,5,"00:20:57,339","00:20:59,840"
4940,It’s laminated!,Es ist laminiert!,Er ist laminiert!,Isabella,anger,negative,526,16,3,5,"00:21:00,342","00:21:02,301"
4941,"Yeah, um, okay see, you were, you were on the list but my friend, Chandler  brought up the very good point that you are international, so I bumped you for Wynona Rider, local.","Ja, ähm, okay, siehst du, du warst, du warst auf der Liste, aber mein Freund, Chandler hat den sehr guten Punkt angesprochen, dass du international bist, also habe ich dich für Wynona Rider, Local, gestoßen.","Ja, ähm, okay, sehen Sie, Sie waren, Sie waren auf der Liste, aber mein Freund, Chandler brachte den sehr guten Punkt, dass Sie international sind, also habe ich Sie für Wynona Rider, lokal, gestoßen.",Ross,neutral,neutral,526,17,3,5,"00:21:03,262","00:21:09,433"
4942,Y'know it’s ironic...,"Weißt du, es ist ironisch...","Wissen Sie, es ist ironisch...",Isabella,neutral,neutral,526,18,3,5,"00:21:19,444","00:21:22,905"
4943,...because I have a list of five goofy coffee house guys and yesterday I bumped you for that guy over there.,...weil ich eine Liste von fünf albernen Kaffeehaus-Typen habe und gestern habe ich dich wegen dem Typen dort drüben angestoßen.,...denn ich habe eine Liste mit 5 albernen Kaffeehaus-Typen und gestern habe ich dich für den Typen da drüben rausgeschmissen.,Isabella,neutral,neutral,526,19,3,5,"00:21:19,444","00:21:30,371"
4944,We’re just gonna be friends.,Wir werden einfach Freunde.,Wir werden nur Freunde sein.,Ross,neutral,neutral,526,20,3,5,"00:21:38,380","00:21:39,964"
4945,Get out of here you lurker!  Go on! Get!,Verschwinde hier du Lauer! Mach weiter! Erhalten!,"Raus mit dir, du Schleicher!  Mach schon! Hau ab!",Phoebe,anger,negative,527,0,5,24,"00:08:00,313","00:08:04,065"
4946,Hey Pheebs!,Hey Pheebs!,Hey Pheebs!,Chandler,joy,positive,527,1,5,24,"0:08:06,110","0:08:06,528"
4947,Ohh! You made up!,Oh! Du hast es geschafft!,Ohh! Ihr habt euch versöhnt!,Phoebe,surprise,positive,527,2,5,24,"0:08:06,528","0:08:09,007"
4948,"Yeah, I couldn't be mad at him for too long.","Ja, ich konnte ihm nicht zu lange böse sein.","Ja, ich konnte nicht zu lange sauer auf ihn sein.",Monica,neutral,neutral,527,3,5,24,"00:08:09,614","00:08:11,698"
4949,"Yeah, she couldn't live without the Chan Love.","Ja, sie könnte ohne Chan Love nicht leben.","Ja, sie konnte nicht ohne die Chan-Liebe leben.",Chandler,joy,positive,527,4,5,24,"00:08:11,991","00:08:20,290"
4950,"Ohh, get a room.","Oh, nimm ein Zimmer.","Ohh, nehmt euch ein Zimmer.",Phoebe,disgust,negative,527,5,5,24,"00:08:18,122","00:08:20,290"
4951,We have one.,Wir haben einen.,Wir haben eins.,Monica,neutral,neutral,527,6,5,24,"0:08:20,500","0:08:21,682"
4952,I know. Use it.,Ich weiß. Benutze es.,"Ja, ich weiß. Benutzt es.",Phoebe,disgust,negative,527,7,5,24,"0:08:21,682","0:08:22,506"
4953,"Oh Mon, listen I have to ask!","Oh Mon, hör zu, ich muss fragen!","Oh, Mann, ich muss das einfach fragen!",Rachel,surprise,positive,528,0,6,15,"00:17:08,068","00:17:20,288"
4954,"Okay, Joey Tribbiani invited me back to his apartment, now does he do this with a lot of girls?","Okay, Joey Tribbiani hat mich in seine Wohnung eingeladen, macht er das jetzt mit vielen Mädchen?","Ok, Joey Tribbiani hat mich in seine Wohnung eingeladen. Macht er das mit vielen Frauen?",Rachel,neutral,neutral,528,1,6,15,"00:17:10,863","00:17:20,288"
4955,"Yeah, a lot. A lot, a lot!","Ja viel. Viel, viel!","Ja, eine Menge. Ja, sehr, sehr viele!",Monica,neutral,neutral,528,2,6,15,"00:17:15,284","00:17:20,288"
4956,"Ohh! And I’m one of them!! Wow! Oh, I just cannot believe this! I mean, Joey Tribbiani!","Oh! Und ich bin einer von ihnen!! Beeindruckend! Oh, ich kann das einfach nicht glauben! Ich meine, Joey Tribbiani!","Ohh! Und ich bin eine von ihnen!! Wow! Oh, ich kann das einfach nicht glauben! Ich meine, Joey Tribbiani!",Rachel,surprise,positive,528,3,6,15,"00:17:20,456","00:17:29,464"
4957,"Well, y’know it’s none of my business, but aren’t you married?","Weißt du, es geht mich nichts an, aber bist du nicht verheiratet?","Es geht mich ja nichts an, aber sind Sie nicht verheiratet?",Monica,neutral,neutral,528,4,6,15,"00:17:29,715","00:17:39,098"
4958,Yeah. Oh I just wish we could not be married for a little bit! Y’know I just wish we could be like on a break!,"Ja. Oh, ich wünschte nur, wir könnten eine Weile nicht heiraten! Weißt du, ich wünschte nur, wir könnten wie in einer Pause sein!","Ja. Oh, ich wünschte, wir könnten nicht verheiratet sein für ein kleines bisschen! Ich wünschte, wir könnten uns eine Auszeit gönnen.",Rachel,anger,negative,528,5,6,15,"00:17:32,342","00:17:43,227"
4959,Ross! I think she is trying to make something happen with you to get back at me!,"Ross! Ich glaube, sie versucht, etwas mit dir zu erreichen, um es mir zu rächen!","Ross! Ich glaube, sie will was mit dir anfangen, um sich an mir zu rächen.",Rachel,anger,negative,529,0,6,14,"00:17:44,772","00:17:48,232"
4960,So that’s the only reason she could be here huh?,"Das ist also der einzige Grund, warum sie hier sein könnte, oder?","Das ist also der einzige Grund, warum sie hier sein könnte, hm?",Ross,neutral,neutral,529,1,6,14,"00:17:48,400","00:17:51,235"
4961,It couldn’t have anything to do with the fact that-that maybe I’m a good listener and I uh I put on a,"Es konnte nichts damit zu tun haben, dass ich vielleicht ein guter Zuhörer bin und ich äh, ich ziehe ein","Es kann nichts damit zu tun haben, dass ich vielleicht ein guter Zuhörer bin und eine gute Miene aufgesetzt habe.",Ross,neutral,neutral,529,2,6,14,"00:17:51,403","00:18:06,000"
4962,"Ross, I am telling you that she is using you to get back at me!","Ross, ich sage dir, dass sie dich benutzt, um es mir zu rächen!","Ross, ich sage dir, dass sie dich benutzt, um sich an mir zu rächen!",Rachel,anger,negative,529,3,6,14,"00:18:00,704","00:18:06,000"
4963,"I think I can take care of myself, I’ll talk to you later.","Ich glaube, ich kann auf mich selbst aufpassen, ich rede später mit dir.","Ich denke, ich kann auf mich selbst aufpassen, ich werde mit dir reden später.",Ross,neutral,neutral,529,4,6,14,"0:18:06,168","0:18:09,640"
4964,Good-bye.,Auf Wiedersehen.,Auf Wiedersehen.,Ross,neutral,neutral,529,5,6,14,"0:18:09,640","0:18:11,054"
4965,Whoa!,Whoa!,Wow!,Ross,surprise,positive,529,6,6,14,"00:18:12,091","00:18:13,716"
4966,"Uh, that was your sister actually.",Das war eigentlich deine Schwester.,"Äh, das war eigentlich deine Schwester.",Ross,neutral,neutral,529,7,6,14,"00:18:14,885","00:18:18,679"
4967,She-she thinks that you’re just using me.,"Sie-sie denkt, dass du mich nur benutzt.","Sie denkt, dass du mich nur ausnutzt.",Ross,neutral,neutral,529,8,6,14,"00:18:18,847","00:18:21,182"
4968,So?,So?,Und?,Jill,neutral,neutral,529,9,6,14,"00:18:22,017","00:18:23,726"
4969,I’m sorry.,Es tut mir Leid.,Tut mir leid. Was machst du hier?,Phoebe,sadness,negative,530,0,3,25,"0:18:57,136","0:18:58,068"
4970,What are you doing here?!,Was machst du hier?!,Was machst du denn hier?!,Phoebe Sr,surprise,negative,530,1,3,25,"0:18:58,068","0:18:59,697"
4971,"I-I, came to fill your ice cube trays.","Ich bin gekommen, um deine Eiswürfelbehälter zu füllen.","Ich... ich bin gekommen, um deine Eiswürfelbehälter aufzufüllen.",Phoebe,neutral,neutral,530,2,3,25,"00:19:00,180","00:19:03,850"
4972,What?!,Was?!,Was?!,Phoebe Sr,surprise,negative,530,3,3,25,"00:19:05,102","00:19:06,561"
4973,"Umm, okay, okay, look.","Ähm, okay, okay, schau mal.","Ähm, okay, okay, sieh mal.",Phoebe,neutral,neutral,530,4,3,25,"00:19:09,565","00:19:12,358"
4974,I took this picture from your fridge.,Dieses Bild habe ich aus deinem Kühlschrank gemacht.,Ich habe dieses Bild von deinem Kühlschrank genommen.,Phoebe,anger,negative,530,5,3,25,"0:19:12,526","0:19:14,548"
4975,"Okay, because I know that this is my Father.","Okay, weil ich weiß, dass dies mein Vater ist.","Okay, weil ich weiß, dass das mein Vater ist.",Phoebe,anger,negative,530,6,3,25,"0:19:14,548","0:19:16,708"
4976,"Yeah, this is Frank Buffay and you are standing right there next to him.","Ja, das ist Frank Buffay und du stehst direkt neben ihm.","Ja, das ist Frank Buffay und du stehst direkt neben ihm.",Phoebe,anger,negative,530,7,3,25,"00:19:16,822","00:19:20,241"
4977,"Now, look I deserve to know where I came from.","Sieh mal, ich verdiene es zu wissen, woher ich komme.","Ich verdiene es zu erfahren, woher ich komme.",Phoebe,anger,negative,530,8,3,25,"00:19:20,784","00:19:23,202"
4978,All right?,Alles klar?,Alles klar?,Phoebe,anger,negative,530,9,3,25,"0:19:23,370","0:19:23,788"
4979,So if you can help me find my Father then you should!,"Wenn Sie mir also helfen können, meinen Vater zu finden, dann sollten Sie das tun!","Wenn du mir also helfen kannst, meinen Vater zu finden, dann solltest du das tun!",Phoebe,anger,negative,530,10,3,25,"0:19:23,788","0:19:26,641"
4980,"Otherwise, you’re just mean!",Sonst bist du nur gemein!,Ansonsten bist du einfach nur gemein!,Phoebe,anger,negative,530,11,3,25,"00:19:26,748","00:19:29,000"
4981,"So, just tell me the truth!",Also sag mir einfach die Wahrheit!,"Also, sag mir einfach die Wahrheit!",Phoebe,anger,negative,530,12,3,25,"00:19:31,420","00:19:33,629"
4982,"All right, the man in the picture is Chuck Magioni.","Alles klar, der Mann auf dem Bild ist Chuck Magioni.","Also gut, der Mann auf dem Bild ist Chuck Magioni.",Phoebe Sr,neutral,neutral,530,13,3,25,"00:19:34,089","00:19:40,052"
4983,My Father is Chuck Magioni?,Mein Vater ist Chuck Magioni?,Mein Vater ist Chuck Magioni?,Phoebe,surprise,negative,530,14,3,25,"00:19:42,181","00:19:44,974"
4984,"No, no, that’s just Chuck Magioni, I-I sold him a house last year!","Nein, nein, das ist nur Chuck Magioni, ich-ich habe ihm letztes Jahr ein Haus verkauft!","Nein, nein, das ist nur Chuck Magioni, ich... ich habe ihm letztes Jahr ein Haus verkauft!",Phoebe Sr,neutral,neutral,530,15,3,25,"00:19:45,142","00:19:53,816"
4985,"And I’m very sorry, but I don’t know where your Father is, and that’s the truth.","Und es tut mir sehr leid, aber ich weiß nicht, wo dein Vater ist, und das ist die Wahrheit.","Und es tut mir sehr leid, aber ich weiß nicht, wo Ihr Vater ist, und das ist die Wahrheit.",Phoebe Sr,sadness,negative,530,16,3,25,"00:19:49,605","00:19:55,735"
4986,Oh.,Oh.,Das ist die Wahrheit. Oh.,Phoebe,sadness,negative,530,17,3,25,"00:19:56,320","00:19:57,570"
4987,"But umm, you’re right.","Aber ähm, du hast recht.","Aber, ähm, Sie haben recht.",Phoebe Sr,neutral,neutral,530,18,3,25,"00:19:57,946","00:20:00,406"
4988,I think that a person should know where they come from.,"Ich denke, dass eine Person wissen sollte, woher sie kommt.","Ich denke, dass eine Person wissen sollte, woher sie kommt.",Phoebe Sr,neutral,neutral,530,19,3,25,"00:20:00,991","00:20:03,951"
4989,"Wh-which is why I ah,  ahh,  okay.","W-weshalb ich ah, ahh, okay.","Deshalb bin ich, ah, ah, okay.",Phoebe Sr,neutral,neutral,530,20,3,25,"00:20:04,620","00:20:14,629"
4990,I’m your mother.,Ich bin deine Mutter.,Ich bin deine Mutter.,Phoebe Sr,neutral,neutral,530,21,3,25,"00:20:15,672","00:20:17,340"
4991,Heh?,Hä?,Hm?,Phoebe,surprise,negative,530,22,3,25,"00:20:20,177","00:20:21,677"
4992,"Y'know I wanted to tell you yesterday, but I just, I kinda felt all floopy, and...","Weißt du, ich wollte es dir gestern sagen, aber ich fühlte mich irgendwie total schwammig und...","Ich wollte es dir schon gestern sagen, aber ich fühlte mich irgendwie schlapp und...",Phoebe Sr,sadness,negative,530,23,3,25,"00:20:22,512","00:20:27,642"
4993,What’s happening to your accent?,Was passiert mit deinem Akzent?,Was ist denn mit deinem Akzent los?,A Student,surprise,negative,531,0,6,4,"00:20:01,742","00:20:04,327"
4994,Come again?,Komm wieder?,Wie bitte?,Ross,surprise,negative,531,1,6,4,"0:20:07,164","0:20:07,976"
4995,What’s-what’s this nonsense?,Was ist das für ein Unsinn?,Was... was soll der Unsinn?,Ross,fear,negative,531,2,6,4,"0:20:07,976","0:20:10,173"
4996,"All right, I’m-I’m not English.","In Ordnung, ich bin – ich bin kein Engländer.","In Ordnung, ich bin... ich bin kein Engländer.",Ross,sadness,negative,531,3,6,4,"00:20:14,213","00:20:16,964"
4997,I’m from Long Island.,Ich komme aus Long Island.,Ich bin von Long Island.,Ross,neutral,neutral,531,4,6,4,"00:20:18,592","00:20:20,927"
4998,"I was really nervous and the accent just uh, just came out.",Ich war wirklich nervös und der Akzent kam einfach heraus.,"Ich war wirklich nervös und der Akzent einfach äh, kam einfach heraus.",Ross,sadness,negative,531,5,6,4,"00:20:21,428","00:20:25,806"
4999,I’m sorry.,Es tut mir Leid.,Es tut mir leid. Wenn wir also,Ross,sadness,negative,531,6,6,4,"00:20:25,974","00:20:28,184"
5000,"So, if we could just get back to the lecture.","Also, wenn wir nur zum Vortrag zurückkehren könnten.","Also, wenn wir einfach zurück zu dem Vortrag kommen könnten.",Ross,neutral,neutral,531,7,6,4,"00:20:30,062","00:20:33,022"
5001,"Umm, were there any questions?","Ähm, gab es Fragen?","Ähm, gab es irgendwelche Fragen?",Ross,neutral,neutral,531,8,6,4,"00:20:33,732","00:20:36,984"
5002,About paleontology.,Über Paläontologie.,Über Paläontologie.,Ross,neutral,neutral,531,9,6,4,"00:20:39,696","00:20:41,322"
5003,"All right, look I was just trying to make a good first impression.","Okay, schau, ich wollte nur einen guten ersten Eindruck machen.","In Ordnung, schauen Sie, ich war gerade versucht, einen guten ersten Eindruck zu machen.",Ross,anger,negative,531,10,6,4,"00:20:43,867","00:20:47,703"
5004,"Obviously, I screwed up.",Offensichtlich habe ich es vermasselt.,Offensichtlich habe ich es vermasselt.,Ross,sadness,negative,531,11,6,4,"00:20:47,871","00:20:49,747"
5005,But what you guys think of me is really important because I’m-I’m hoping to get a permanent job here.,"Aber was ihr von mir denkt, ist wirklich wichtig, denn ich hoffe, hier einen festen Job zu bekommen.","Aber was ihr von mir haltet, ist wirklich wichtig, denn ich hoffe, dass ich hier einen festen Job bekomme.",Ross,neutral,neutral,531,12,6,4,"00:20:49,915","00:20:55,294"
5006,So if you just give me another chance to make a good impression,"Also, wenn du mir nur noch eine Chance gibst, einen guten Eindruck zu hinterlassen","Also, wenn Sie nur geben mir eine weitere Chance, einen guten Eindruck zu machen",Ross,neutral,neutral,531,13,6,4,"00:20:55,462","00:20:58,839"
5007,Ross!! Are you crazy?! I am,Ross!! Bist du verrückt?! ich bin,Ross!! Sind Sie verrückt?! Das bin ich.,Rachel,anger,negative,531,14,6,4,"00:21:00,425","00:21:06,055"
5008,"Well, hello Rachel!",Hallo Rachel!,"Nun, hallo Rachel!",Ross,surprise,positive,531,15,6,4,"00:21:16,024","00:21:17,775"
5009,"Where you going, Joe?","Wohin gehst du, Joe?","Wo gehst du hin, Joe?",Chandler,neutral,neutral,532,0,9,12,"00:10:28,794","00:10:31,046"
5010,For a walk.,Für einen Spaziergang.,Ein bisschen spazieren.,Joey,neutral,neutral,532,1,9,12,"00:10:35,426","00:10:37,135"
5011,Oh. You mind if I join you?,"Oh. Macht es Ihnen etwas aus, wenn ich mich Ihnen anschließe?","Oh. Was dagegen, wenn ich mitkomme?",Chandler,neutral,neutral,532,2,9,12,"00:10:37,303","00:10:39,304"
5012,"Actually, that will be long. You know, I really need to organize    my thoughts.","Eigentlich wird das lange dauern. Weißt du, ich muss wirklich meine Gedanken ordnen.","Eigentlich, das wird lang sein. Weißt du, ich muss wirklich meine Gedanken ordnen.",Joey,neutral,neutral,532,3,9,12,"00:10:39,555","00:10:44,851"
5013,Your thoughts? Plural?,Ihre Gedanken? Plural?,Deine Gedanken? Plural?,Chandler,surprise,positive,532,4,9,12,"00:10:46,103","00:10:48,355"
5014,"Allright, fine, I only have one thought! It's about the hot nanny,    I gotta see her!","Alles klar, gut, ich habe nur einen Gedanken! Es geht um die heiße Nanny, ich muss sie sehen!","Na gut, schön, ich habe nur einen Gedanken! Es geht um das heiße Kindermädchen, ich muss sie sehen!",Joey,joy,positive,532,5,9,12,"00:10:55,780","00:10:57,906"
5015,"I'm afraid I can't let you do that, Joe.","Ich fürchte, das kann ich nicht zulassen, Joe.","Ich fürchte, das kann ich dir nicht gestatten, Joe.",Chandler,neutral,neutral,532,6,9,12,"0:10:58,908","0:11:01,010"
5016,Now YOU'RE telling me I can't see her??,"Jetzt sagst DU mir, dass ich sie nicht sehen kann??","Jetzt sagst du mir, ich kann sie nicht sehen??",Joey,anger,negative,532,7,9,12,"0:11:01,010","0:11:02,514"
5017,You guys are killing me!,Ihr bringt mich um!,Ihr Jungs bringen mich um!,Joey,sadness,negative,532,8,9,12,"0:11:02,620","0:11:04,122"
5018,She's forbidden fruit!,Sie ist verbotene Frucht!,Sie ist eine verbotene Frucht!,Joey,sadness,negative,532,9,9,12,"0:11:04,122","0:11:07,186"
5019,"It's like ... like she's the princess and I'm the stable    boy ... Why are you doing this, huh?","Es ist wie ... als wäre sie die Prinzessin und ich der Stalljunge ... Warum tust du das, huh?","Es ist, als wäre sie die Prinzessin und ich der Stallbursche. Warum tust du das, hm?",Joey,sadness,negative,532,10,9,12,"00:11:07,291","00:11:17,092"
5020,Did Ross tell you not to let me go over    there?,"Hat Ross dir gesagt, dass du mich nicht dort hingehen lassen sollst?","Hat Ross dir gesagt, dass du mich nicht rübergehen lassen sollst?",Joey,neutral,neutral,532,11,9,12,"00:11:14,840","00:11:17,092"
5021,"Yes, as a matter of fact he did, so I can't let you go.","Ja, das hat er tatsächlich, also kann ich dich nicht gehen lassen.","Ja, das hat er in der Tat, also kann ich dich nicht gehen lassen.",Chandler,neutral,neutral,532,12,9,12,"00:11:17,301","00:11:20,011"
5022,Huh. Interesting. Now there are obstacles. Hot nanny and me against    the world. This is the kind of stuff great novels are made of.,"Hm. Interessant. Jetzt gibt es Hindernisse. Heiße Nanny und ich gegen die Welt. Das ist der Stoff, aus dem große Romane gemacht sind.","Hm. Interessant. Jetzt gibt es Hindernisse. Das heiße Kindermädchen und ich gegen den Rest der Welt. Das ist der Stoff, aus dem große Romane gemacht sind.",Joey,anger,negative,532,13,9,12,"00:11:20,221","00:11:31,022"
5023,Great novels?,Tolle Romane?,Tolle Romane?,Chandler,surprise,positive,532,14,9,12,"00:11:28,896","00:11:31,022"
5024,Fine ... mediocre porn,Fein ... mittelmäßiger Porno,Gut ... mittelmäßige Pornos,Joey,neutral,neutral,532,15,9,12,"00:11:31,232","00:11:33,817"
5025,"Okay, I think we can get the evaluation back before they see it, but we’re gonna have to get into Mr. Zelner’s office.","Okay, ich denke, wir können die Bewertung zurückholen, bevor sie sie sehen, aber wir müssen in Mr. Zelners Büro.",Wir müssen in Mr. Zelners Büro kommen.,Rachel,neutral,neutral,533,0,7,9,"00:16:11,428","00:16:18,685"
5026,"Now, he doesn’t get in until 10, so he’s no problem, but his assistant, Betty, she comes in early to eat her breakfast at her desk.","Jetzt kommt er erst um 10, also kein Problem, aber seine Assistentin Betty kommt früh zum Frühstück an ihrem Schreibtisch.","Er kommt erst um 10 Uhr, also kein Problem, aber seine Assistentin Betty kommt früh, um am Schreibtisch zu frühstücken.",Rachel,neutral,neutral,533,1,7,9,"00:16:18,894","00:16:22,939"
5027,That’s kinda sad.,Das ist irgendwie traurig.,Das ist irgendwie traurig.,Tag,sadness,negative,533,2,7,9,"00:16:23,148","00:16:26,401"
5028,"Yeah, well Betty is kinda sad. Which is why I believe I can lure her away with these chocolates.  Now, while I distract her,","Ja, Betty ist irgendwie traurig. Deshalb glaube ich, dass ich sie mit diesen Pralinen weglocken kann. Jetzt, während ich sie ablenke,","Ja, nun, Betty ist irgendwie traurig. Weshalb ich glaube, dass ich sie mit diesen Pralinen weglocken kann.  Nun, während ich sie ablenke,",Rachel,neutral,neutral,533,3,7,9,"00:16:26,819","00:16:34,200"
5029,Got it!,Ich habs!,Ich hab's!,Tag,joy,positive,533,4,7,9,"0:16:34,410","0:16:34,962"
5030,Let’s roll!,Auf geht's!,Los geht's!,Rachel,joy,positive,533,5,7,9,"0:16:34,962","0:16:35,840"
5031,"Hello Rachel, you uh, got a minute?","Hallo Rachel, hast du eine Minute Zeit?","Hallo Rachel, hast du einen Moment Zeit?",Mr. Zelner,neutral,neutral,533,6,7,9,"00:16:37,496","00:16:39,706"
5032,"Yeah, sure Mr. Zelner, for you anything—minute. Okay. Fine.  Abort the plan, abort the plan.","Ja, sicher, Mr. Zelner, für Sie alles – Minute. Okay. Fein. Brich den Plan ab, breche den Plan ab.","Ja, sicher, Mr. Zelner, für Sie in einer Minute. Ja, klar. Na schön.  Brechen Sie den Plan ab, brechen Sie den Plan ab.",Rachel,neutral,neutral,533,7,7,9,"00:16:45,546","00:16:47,130"
5033,"Uh actually, I’d like to speak with both of you.","Äh, eigentlich würde ich gerne mit euch beiden sprechen.","Äh, eigentlich würde ich gerne mit Ihnen beiden sprechen.",Mr. Zelner,neutral,neutral,533,8,7,9,"00:16:47,923","00:16:50,591"
5034,"Okay. Uh, well can we, can we get you anything Mr. Zelner? Maybe some chocolates?","Okay. Äh, können wir, können wir Ihnen etwas besorgen, Mr. Zelner? Vielleicht ein paar Pralinen?","Ich möchte mit Ihnen beiden sprechen. Okay. Äh, können wir Ihnen etwas bringen, Mr. Zelner? Vielleicht ein paar Pralinen?",Rachel,neutral,neutral,533,9,7,9,"00:16:51,051","00:16:57,849"
5035,"Cassie, are you finding everything okay in there?","Cassie, findest du da drin alles in Ordnung?","Cassie, finden Sie alles in Ordnung da drin?",Phoebe,neutral,neutral,534,0,7,19,"00:21:14,147","00:21:16,482"
5036,Yeah! Thank you so much for letting me stay here.,"Ja! Vielen Dank, dass ich hier bleiben durfte.","Ja, ja. Vielen Dank, dass ich hier bleiben darf.",Cassie,neutral,neutral,534,1,7,19,"00:21:16,650","00:21:19,443"
5037,Oh! No problem! I,Oh! Kein Problem! ich,Oh! Kein Problem! I,Phoebe,joy,positive,534,2,7,19,"00:21:19,611","00:21:21,821"
5038,What?,Was?,Was ist?,Cassie,surprise,positive,534,3,7,19,"00:21:40,007","00:21:41,048"
5039,You are iron.,Du bist Eisen.,Du bist aus Eisen.,Hoshi,neutral,neutral,535,0,3,24,"0:07:00,294","0:07:01,337"
5040,You are steel!,Du bist Stahl!,Du bist aus Stahl!,Hoshi,joy,positive,535,1,3,24,"0:07:01,337","0:07:03,186"
5041,"Let me ask you something, how come when I call your computer support line, I have to wait an hour and a half?","Lassen Sie mich Sie etwas fragen, wieso muss ich anderthalb Stunden warten, wenn ich Ihren Computer-Support anrufe?","Eine Frage: Wie kommt es, dass ich anderthalb Stunden warten muss, wenn ich den Computer-Support anrufe?",Hoshi,anger,negative,535,2,3,24,"00:07:03,840","00:07:09,678"
